商品标识;商店id;商店分页;位置排列;商品;商品名称;商品描述;堆叠数;限购次数;价格;商品栏标志;限制条件
700001;1;1;1;;月卡;11倍倾情回馈;1;;{"RMB":30};hot;1
700002;1;1;3;{"gouyu":3280};3280钻石;首充双倍;1;;{"RMB":328};hot;1
700003;1;1;2;{"gouyu":980};980钻石;首充双倍;1;;{"RMB":98};hot;1
700004;1;1;4;{"gouyu":6480};6480钻石;首充双倍;1;;{"RMB":648};hot;1
700005;1;1;5;{"gouyu":1980};1980钻石;首充双倍;1;;{"RMB":198};hot;1
700006;1;1;6;{"gouyu":60};60钻石;首充双倍;1;;{"RMB":6};hot;1
700007;1;1;7;{"gouyu":300};300钻石;首充双倍;1;;{"RMB":30};hot;1
700008;2;1;1;{"goods":100005};商品1;商品1;5;;{"gouyu":100};hot;10
700009;2;1;2;{"goods":100006};商品2;商品2;5;;{"gouyu":100};hot;10
700010;2;1;3;{"goods":100007};商品3;商品3;5;;{"gouyu":100};hot;10
700011;2;1;4;{"goods":100008};商品4;商品4;5;;{"gouyu":100};hot;10
700012;2;1;5;{"goods":100009};商品5;商品5;5;;{"gouyu":100};hot;10
700013;2;1;6;{"goods":100010};商品6;商品6;5;;{"gouyu":100};hot;10
700014;2;1;7;{"goods":100011};商品7;商品7;5;;{"gouyu":100};hot;10
700015;2;1;8;{"goods":100012};商品8;商品8;5;;{"gouyu":100};hot;10
700016;2;1;9;{"goods":100013};商品9;商品9;5;;{"gouyu":100};hot;10
700017;2;1;10;{"goods":100014};商品10;商品10;5;;{"gouyu":100};hot;10
700018;2;1;11;{"goods":100015};商品11;商品11;5;;{"gouyu":100};hot;10
700019;2;1;12;{"goods":100016};商品12;商品12;5;;{"gouyu":100};hot;10
700020;2;1;13;{"goods":100017};商品13;商品13;5;;{"gouyu":100};hot;10
700021;2;1;14;{"goods":100018};商品14;商品14;5;;{"gouyu":100};hot;10
700022;2;1;15;{"goods":100019};商品15;商品15;5;;{"gouyu":100};hot;10
700023;2;1;16;{"goods":100020};商品16;商品16;5;;{"gouyu":100};hot;10
700024;2;1;17;{"goods":100021};商品17;商品17;5;;{"gouyu":100};hot;10
700025;2;1;18;{"goods":100022};商品18;商品18;5;;{"gouyu":100};hot;10
700026;2;1;19;{"goods":100023};商品19;商品19;5;;{"gouyu":100};hot;10
